"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H6","MEX","72","Mexico","USA","United States",2022,"Export",6,5581315.414
"H6","MEX","72","Mexico","USA","United States",2022,"Import",5,7467685.597
"H6","MEX","72","Mexico","USA","United States",2023,"Export",6,3757351.658
"H6","MEX","72","Mexico","USA","United States",2023,"Import",5,7412915.009
"H6","MEX","72","Mexico","USA","United States",2024,"Export",6,3262292.862
"H6","MEX","72","Mexico","USA","United States",2024,"Import",5,7242663.874
"H6","MEX","84","Mexico","USA","United States",2022,"Export",6,91425436.85
"H6","MEX","84","Mexico","USA","United States",2022,"Import",5,31828487.206
"H6","MEX","84","Mexico","USA","United States",2023,"Export",6,82334949.515
"H6","MEX","84","Mexico","USA","United States",2023,"Import",5,34861864.182
"H6","MEX","84","Mexico","USA","United States",2024,"Export",6,93782338.127
"H6","MEX","84","Mexico","USA","United States",2024,"Import",5,35174455.445
"H6","MEX","85","Mexico","USA","United States",2022,"Export",6,85502042.202
"H6","MEX","85","Mexico","USA","United States",2022,"Import",5,23245999.053
"H6","MEX","85","Mexico","USA","United States",2023,"Export",6,91942618.837
"H6","MEX","85","Mexico","USA","United States",2023,"Import",5,25220562.807
"H6","MEX","85","Mexico","USA","United States",2024,"Export",6,95865908.518
"H6","MEX","85","Mexico","USA","United States",2024,"Import",5,28360957.833
"H6","USA","72","United States","MEX","Mexico",2022,"Export",6,6473911.5
"H6","USA","72","United States","MEX","Mexico",2022,"Import",5,5612055.057
"H6","USA","72","United States","MEX","Mexico",2023,"Export",6,6559947.969
"H6","USA","72","United States","MEX","Mexico",2023,"Import",5,3733806.515
"H6","USA","72","United States","MEX","Mexico",2024,"Export",6,6794422.571
"H6","USA","72","United States","MEX","Mexico",2024,"Import",5,3308106.293
"H6","USA","84","United States","MEX","Mexico",2022,"Export",6,27938333.264
"H6","USA","84","United States","MEX","Mexico",2022,"Import",5,86572295.802
"H6","USA","84","United States","MEX","Mexico",2023,"Export",6,29060331.959
"H6","USA","84","United States","MEX","Mexico",2023,"Import",5,81617764.616
"H6","USA","84","United States","MEX","Mexico",2024,"Export",6,27278291.938
"H6","USA","84","United States","MEX","Mexico",2024,"Import",5,105830208.842
"H6","USA","85","United States","MEX","Mexico",2022,"Export",6,18966448.414
"H6","USA","85","United States","MEX","Mexico",2022,"Import",5,79662031.054
"H6","USA","85","United States","MEX","Mexico",2023,"Export",6,20395900.862
"H6","USA","85","United States","MEX","Mexico",2023,"Import",5,85555067.045
"H6","USA","85","United States","MEX","Mexico",2024,"Export",6,22226051.531
"H6","USA","85","United States","MEX","Mexico",2024,"Import",5,87556261.521
